,Airline,Source,Destination,Additional_Info,Price,month,Weekday,Dep_hour,Dep_min,Arrival_hour,Dur_hour,Dur_min,Arrival_min2,Stop1,Stop2,Stop3,Stop4,Total_stops1
115,6,2,1,8,10348,5,2,7,5,22,15,25,30,3,20,6,13,1
116,1,2,1,8,12677,3,1,17,20,9,16,5,25,3,33,6,13,1
117,6,2,1,8,15147,3,3,15,25,1,10,10,35,3,7,6,13,1
118,10,0,2,8,4668,6,0,7,0,9,2,40,40,0,13,29,13,0
119,4,2,1,8,15554,5,4,7,5,19,11,55,0,3,7,6,13,1
120,8,0,2,8,3971,4,6,5,55,8,2,40,35,0,13,29,13,0
121,1,4,3,8,3100,5,5,15,0,16,1,25,25,1,19,29,13,0
122,4,3,0,5,9663,5,6,20,0,10,14,5,5,2,7,3,13,1
123,1,2,1,8,27430,3,4,23,0,19,20,15,15,3,7,6,13,1
124,3,1,4,8,3540,5,4,5,15,7,2,25,40,4,8,29,13,0
125,1,3,0,8,10676,5,5,12,0,11,23,10,10,2,2,4,3,2
126,4,3,0,8,13044,6,0,14,5,8,18,10,15,2,7,3,13,1
127,4,3,0,8,14388,5,6,20,0,12,16,0,0,2,7,3,13,1
128,3,0,2,8,3943,6,1,4,0,6,2,50,50,0,13,29,13,0
129,3,1,4,8,3597,6,6,14,45,17,2,20,5,4,8,29,13,0
130,1,0,5,8,5932,3,4,11,50,19,8,0,50,0,33,8,13,1
131,4,2,1,5,10262,6,2,11,30,4,16,55,25,3,7,6,13,1
132,10,2,1,8,6216,5,4,14,40,17,3,10,50,3,10,29,13,0
133,3,3,0,8,4804,6,2,20,25,23,2,45,10,2,5,29,13,0
134,6,2,1,8,14067,5,5,11,30,1,14,0,30,3,7,6,13,1
135,4,2,1,8,15129,5,2,19,10,19,23,50,0,3,0,4,5,2
136,4,2,1,8,13376,6,4,6,45,4,21,40,25,3,34,4,5,2
137,1,2,1,8,10441,6,4,22,0,19,21,15,15,3,16,4,5,2
138,4,0,2,5,4030,5,0,6,0,8,2,45,45,0,13,29,13,0
139,4,2,1,8,17024,3,3,8,0,18,10,50,50,3,7,6,13,1
140,6,2,1,8,13017,4,6,17,30,1,8,0,30,3,7,6,13,1
141,2,3,0,8,6686,6,4,23,30,7,8,15,45,2,7,3,13,1
142,3,2,1,8,5636,6,2,2,0,7,5,25,25,3,33,6,13,1
143,3,2,1,8,6442,6,0,7,35,16,8,35,10,3,20,6,13,1
144,6,2,1,8,9486,5,5,13,5,0,11,50,55,3,20,6,13,1
145,4,3,0,5,10844,5,5,20,0,23,27,35,35,2,7,3,13,1
146,4,2,1,5,15318,6,6,20,0,4,8,25,25,3,1,4,5,2
147,1,2,1,8,5117,4,1,12,30,9,20,55,25,3,33,6,13,1
148,3,2,1,8,6147,6,1,15,10,20,4,50,0,3,6,6,13,1
149,6,2,1,8,7005,6,0,12,50,21,8,10,0,3,7,6,13,1
150,8,3,0,8,3873,4,1,22,20,0,2,20,40,2,5,29,13,0
151,4,2,1,5,9270,3,4,18,25,18,24,25,50,3,3,4,5,2
152,2,0,2,8,3898,6,4,11,40,14,2,50,30,0,13,29,13,0
153,4,3,0,8,14781,5,4,8,25,20,12,20,45,2,7,3,13,1
154,4,3,0,5,8586,5,0,20,0,8,12,15,15,2,7,3,13,1
155,1,3,0,8,10697,5,4,8,20,7,23,35,55,2,28,4,3,2
156,4,2,1,8,14300,6,4,20,0,12,16,35,35,3,1,4,5,2
157,3,0,5,8,8855,3,3,18,55,21,2,50,45,0,13,29,13,0
158,4,3,0,5,10844,5,4,16,30,18,25,45,15,2,7,3,13,1
159,4,2,1,8,17024,3,1,2,15,4,26,10,25,3,7,6,13,1
160,4,3,0,5,9314,5,2,9,35,14,28,50,25,2,14,3,13,1
161,3,0,5,8,4777,3,3,0,40,3,2,45,25,0,13,29,13,0
162,1,3,0,8,7662,6,0,12,0,13,25,15,15,2,2,3,13,1
163,3,2,1,8,6442,5,4,6,50,16,9,20,10,3,20,6,13,1
164,8,2,1,8,5264,6,0,8,45,13,4,30,15,3,37,6,13,1
165,4,2,1,5,12898,5,1,13,0,4,15,25,25,3,7,6,13,1
166,1,4,3,8,6092,3,3,13,55,15,1,30,25,1,19,29,13,0
167,8,0,2,8,3311,5,5,5,55,8,2,40,35,0,13,29,13,0
168,4,2,1,5,6540,3,6,19,15,4,9,10,25,3,7,6,13,1
169,3,0,2,8,3419,5,1,1,30,4,2,45,15,0,13,29,13,0
170,4,2,1,5,5177,4,1,14,0,12,22,35,35,3,7,6,13,1
171,1,2,1,8,8246,4,4,18,5,21,3,5,10,3,10,29,13,0
172,4,3,0,8,14676,6,0,9,35,21,11,30,5,2,14,3,13,1
173,6,2,1,8,13587,6,4,11,30,21,9,30,0,3,7,6,13,1
174,4,3,0,5,9663,5,6,21,10,9,12,10,20,2,7,3,13,1
175,4,3,0,8,13044,6,0,16,30,10,17,35,5,2,7,3,13,1
176,3,2,1,8,5073,4,1,20,25,1,5,5,30,3,7,6,13,1
177,10,3,0,8,9345,5,5,17,0,18,25,50,50,2,14,3,13,1
178,4,3,0,5,9663,5,6,14,5,10,20,0,5,2,7,3,13,1
179,6,2,1,8,14277,5,5,8,0,21,13,0,0,3,7,6,13,1
180,4,2,1,5,10262,6,3,10,0,4,18,25,25,3,7,6,13,1
181,4,4,3,8,5678,3,6,19,35,21,1,30,5,1,19,29,13,0
182,6,2,1,8,13727,5,6,16,0,1,9,30,30,3,7,6,13,1
183,4,3,0,5,9663,5,6,20,0,12,16,0,0,2,7,3,13,1
184,3,1,4,8,3858,5,4,14,45,17,2,20,5,4,8,29,13,0
185,8,2,1,8,4812,6,1,8,45,13,4,30,15,3,37,6,13,1
186,3,2,1,8,5775,6,4,21,50,3,5,45,35,3,32,6,13,1
187,4,3,0,5,10539,6,4,9,35,9,24,10,45,2,14,3,13,1
188,3,3,0,8,4804,6,6,15,30,18,2,35,5,2,5,29,13,0
189,0,0,2,8,3383,6,0,11,10,13,2,45,55,0,13,29,13,0
190,3,0,5,8,8738,3,3,12,10,17,4,55,5,0,20,8,13,1
191,1,2,1,8,7165,3,6,5,15,6,25,35,50,3,40,6,13,1
192,3,2,1,8,6412,6,1,16,10,22,6,20,30,3,20,6,13,1
193,4,0,2,8,8016,6,4,18,55,22,3,5,0,0,13,29,13,0
194,4,0,5,5,11087,3,5,20,35,15,18,40,15,0,7,8,13,1
195,8,1,4,7,3543,6,4,9,45,12,2,15,0,4,8,29,13,0
196,4,3,0,8,12471,6,0,16,30,4,12,10,40,2,7,3,13,1
197,4,2,1,5,10262,6,1,9,0,4,19,25,25,3,7,6,13,1
198,1,0,5,8,4441,3,1,13,20,16,2,50,10,0,13,29,13,0
199,6,2,1,8,12537,3,6,7,5,15,8,25,30,3,7,6,13,1
200,2,3,0,8,10091,3,3,22,25,7,9,15,40,2,7,3,13,1
201,1,0,2,8,6961,6,6,21,5,23,2,50,55,0,13,29,13,0
202,3,2,1,8,5013,4,6,5,35,8,3,15,50,3,10,29,13,0
203,1,2,1,8,6934,5,2,5,10,8,2,50,0,3,10,29,13,0
204,6,2,1,8,10877,6,6,6,40,19,12,20,0,3,7,6,13,1
205,4,0,2,8,7229,4,4,15,15,18,2,55,10,0,13,29,13,0
206,3,2,1,8,7048,3,6,16,0,1,9,35,35,3,7,6,13,1
207,10,0,2,8,4878,6,4,17,0,19,2,35,35,0,13,29,13,0
208,4,3,0,5,10844,5,5,14,5,23,9,30,35,2,7,3,13,1
209,4,2,1,8,15129,5,2,23,5,4,29,20,25,3,0,4,5,2
210,3,0,2,8,3943,5,4,0,30,3,2,55,25,0,13,29,13,0
211,8,2,1,8,5583,6,4,6,5,11,5,15,20,3,33,6,13,1
212,6,2,1,8,9646,6,4,7,5,16,9,5,10,3,20,6,13,1
213,6,2,1,8,7677,6,6,8,30,19,10,45,15,3,7,6,13,1
214,3,2,1,8,6842,6,3,5,10,10,4,55,5,3,6,6,13,1
215,4,4,3,5,4995,6,1,8,45,10,1,30,15,1,19,29,13,0
216,10,3,0,8,9555,6,0,7,10,18,11,40,50,2,14,3,13,1
217,3,0,2,8,4077,6,3,1,30,4,2,45,15,0,13,29,13,0
218,4,0,2,8,7229,5,4,15,15,18,2,55,10,0,13,29,13,0
219,6,2,1,8,12192,6,0,9,0,19,10,0,0,3,7,6,13,1
220,1,0,2,8,5911,4,6,10,0,12,2,45,45,0,13,29,13,0
221,1,2,1,8,8372,6,0,9,0,19,10,15,15,3,7,6,13,1
222,4,4,3,5,4995,3,1,7,10,8,1,25,35,1,19,29,13,0
223,6,2,1,8,14323,5,4,10,0,19,9,15,15,3,7,6,13,1
224,4,2,1,8,13014,6,0,5,30,4,22,55,25,3,28,4,5,2
225,1,2,1,8,13591,6,4,14,25,19,28,50,15,3,9,4,5,2
226,4,2,1,8,18799,3,3,5,25,18,37,25,50,3,21,4,5,2
227,3,0,2,8,3943,4,2,23,30,2,2,50,20,0,13,29,13,0
228,8,4,3,7,1965,5,5,5,45,7,1,30,15,1,19,29,13,0
229,4,4,3,5,4995,5,1,10,20,11,1,30,50,1,19,29,13,0
230,1,3,0,8,14641,3,3,16,50,18,25,40,30,2,7,3,13,1
231,1,3,0,8,4460,4,6,20,45,23,2,35,20,2,5,29,13,0
232,1,2,1,8,10191,5,2,13,0,19,6,15,15,3,7,6,13,1
233,4,2,1,5,13843,3,5,2,15,19,17,30,45,3,7,6,13,1
234,3,2,1,8,6349,5,2,21,50,3,5,45,35,3,32,6,13,1
235,0,3,0,8,4409,5,2,10,20,12,2,35,55,2,5,29,13,0
236,4,2,1,8,17024,3,1,18,15,19,25,30,45,3,7,6,13,1
237,6,2,1,8,13727,5,2,7,5,21,13,55,0,3,7,6,13,1
238,3,0,5,8,8855,3,0,18,25,21,2,55,20,0,13,29,13,0
239,6,2,1,8,12524,6,1,8,45,19,10,15,0,3,7,6,13,1
240,4,0,5,8,13555,3,1,11,40,20,8,40,20,0,7,8,13,1
241,4,3,0,5,10844,6,4,6,30,12,5,30,0,2,7,3,13,1
242,6,2,1,8,13587,6,0,9,0,21,12,0,0,3,7,6,13,1
243,8,1,4,7,3543,6,0,9,45,12,2,15,0,4,8,29,13,0
244,10,1,4,8,4842,3,1,7,5,9,2,15,20,4,8,29,13,0
245,3,0,2,8,3943,4,6,23,30,2,2,50,20,0,13,29,13,0
246,4,2,1,5,10577,6,0,19,15,4,9,10,25,3,7,6,13,1
247,3,2,1,8,6979,5,6,10,35,21,10,25,0,3,7,6,13,1
248,10,1,4,8,11982,6,4,17,45,20,2,20,5,4,8,29,13,0
249,8,2,1,8,5264,6,4,8,45,13,4,30,15,3,37,6,13,1
250,10,2,1,8,8001,3,3,6,0,9,3,10,10,3,10,29,13,0
251,1,2,1,8,10651,6,3,19,45,19,23,30,15,3,0,4,5,2
252,4,3,0,5,10844,5,0,16,30,19,27,20,50,2,7,3,13,1
253,6,2,1,8,6601,3,6,9,45,22,12,35,20,3,20,6,13,1
254,1,2,1,8,6587,3,4,19,0,19,24,15,15,3,7,6,13,1
255,8,4,3,8,3173,3,4,13,10,14,1,20,30,1,19,29,13,0
256,1,0,2,8,5228,5,4,10,0,12,2,45,45,0,13,29,13,0
257,4,0,2,5,5769,6,0,7,10,10,3,0,10,0,13,29,13,0
258,4,2,1,8,14714,6,4,8,0,19,11,0,0,3,7,6,13,1
259,4,2,1,8,13014,6,6,5,30,19,13,30,0,3,28,4,5,2
260,3,0,2,8,3359,6,6,22,10,1,2,50,0,0,13,29,13,0
261,2,0,5,8,6722,3,3,20,55,23,2,55,50,0,13,29,13,0
262,3,3,0,8,4462,3,1,9,35,12,2,45,20,2,5,29,13,0
263,3,2,1,8,6171,3,5,4,55,16,11,15,10,3,20,6,13,1
264,1,3,0,8,12303,5,5,5,50,20,14,35,25,2,25,9,3,2
265,6,2,1,8,7695,3,4,11,40,1,13,55,35,3,7,6,13,1
266,3,2,1,8,5684,6,1,11,25,1,14,5,30,3,7,6,13,1
267,1,3,0,8,8366,6,0,16,50,7,15,5,55,2,7,3,13,1
268,1,1,4,8,19630,3,4,11,40,13,2,15,55,4,8,29,13,0
269,4,0,5,5,13502,3,1,14,5,5,15,0,5,0,7,8,13,1
270,4,3,0,8,14781,5,2,21,10,10,12,55,5,2,7,3,13,1
271,6,2,1,8,6513,6,0,7,10,16,9,0,10,3,20,6,13,1
272,1,2,1,8,9929,6,3,7,0,19,12,15,15,3,7,6,13,1
273,6,2,1,8,18275,6,4,17,50,1,7,40,30,3,26,4,5,2
274,1,2,1,8,4487,4,6,6,5,9,27,20,25,3,33,6,13,1
275,3,4,3,8,2754,3,0,21,20,22,1,25,45,1,19,29,13,0
276,1,4,3,8,2575,3,6,6,20,7,1,20,40,1,19,29,13,0
277,8,3,0,8,8224,6,0,15,55,21,5,30,25,2,23,3,13,1
278,1,2,1,8,8991,3,5,20,30,8,11,45,15,3,6,6,13,1
279,3,2,1,8,5000,6,1,5,35,8,3,15,50,3,10,29,13,0
280,4,3,0,5,8529,6,0,18,55,19,24,55,50,2,7,3,13,1
281,1,2,1,8,14042,3,3,6,5,9,27,20,25,3,33,6,13,1
282,4,0,2,5,4030,5,0,11,10,14,2,55,5,0,13,29,13,0
283,4,3,0,5,10844,6,4,18,55,12,17,5,0,2,7,3,13,1
284,3,3,0,8,4804,5,6,21,25,0,2,40,5,2,5,29,13,0
285,6,2,1,5,7308,5,1,17,30,1,8,0,30,3,7,6,13,1
286,3,0,2,8,4823,5,4,16,55,19,3,0,55,0,13,29,13,0
287,4,2,1,5,10262,6,1,9,0,12,27,35,35,3,7,6,13,1
288,4,2,1,5,12898,5,1,20,55,4,7,30,25,3,7,6,13,1
289,1,0,5,8,12778,3,5,17,25,16,22,55,20,0,7,21,6,2
290,3,2,1,8,14871,3,3,4,45,13,8,35,20,3,7,6,13,1
291,1,2,1,8,8708,3,4,13,20,19,29,55,15,3,41,4,5,2
292,4,3,0,5,10844,6,4,20,0,18,22,15,15,2,7,3,13,1
293,8,4,3,8,4129,3,1,5,45,7,1,20,5,1,19,29,13,0
294,3,3,0,8,4804,5,2,21,25,0,2,40,5,2,5,29,13,0
295,4,0,2,8,7229,5,6,8,20,11,3,0,20,0,13,29,13,0
296,4,0,5,5,7832,3,4,7,0,19,12,10,10,0,7,8,13,1
297,8,1,4,8,3859,3,1,9,30,12,2,35,5,4,8,29,13,0
298,6,2,1,8,9001,6,4,7,30,19,11,45,15,3,7,6,13,1
299,10,0,2,8,4878,5,4,17,0,19,2,35,35,0,13,29,13,0
300,3,4,3,8,2754,5,5,2,35,4,1,30,5,1,19,29,13,0
301,10,0,2,8,4668,6,4,7,0,9,2,40,40,0,13,29,13,0
302,0,3,0,8,5216,5,4,10,20,12,2,35,55,2,5,29,13,0
303,4,2,1,5,10368,6,4,5,30,4,22,55,25,3,28,4,5,2
304,3,2,1,8,8146,3,5,6,40,21,14,40,20,3,20,22,5,2
305,4,2,1,8,12242,3,6,13,0,4,15,25,25,3,7,6,13,1
306,4,0,5,5,9134,3,0,8,0,15,7,15,15,0,7,8,13,1
307,1,2,1,8,10939,6,4,13,15,9,20,10,25,3,20,22,5,2
308,1,2,1,8,11753,6,4,10,55,7,20,45,40,3,16,4,5,2
309,8,3,0,8,4174,4,6,17,10,19,2,30,40,2,5,29,13,0
310,4,3,0,5,10844,5,5,20,0,19,23,50,50,2,7,3,13,1
311,4,2,1,8,14714,6,6,16,0,19,27,0,0,3,7,6,13,1
312,4,3,0,5,9899,6,0,6,30,12,5,30,0,2,7,3,13,1
313,3,2,1,8,14871,3,3,9,10,21,11,50,0,3,7,6,13,1
314,3,1,4,8,7295,3,1,13,20,15,2,15,35,4,8,29,13,0
315,1,2,1,8,13465,6,4,18,45,19,24,30,15,3,28,4,5,2
316,8,1,4,7,3543,5,5,17,45,20,2,20,5,4,8,29,13,0
317,6,2,1,8,7198,6,4,19,0,1,6,30,30,3,7,6,13,1
318,4,2,1,5,10262,6,3,8,0,4,20,25,25,3,7,6,13,1
319,3,3,0,8,4148,3,0,15,20,17,2,35,55,2,5,29,13,0
320,4,0,2,8,8016,6,4,15,15,18,2,55,10,0,13,29,13,0
321,4,2,1,5,10262,6,0,22,50,4,5,35,25,3,7,6,13,1
322,8,3,0,7,3841,6,2,14,55,17,2,30,25,2,5,29,13,0
323,4,0,5,8,11507,3,5,9,45,0,14,45,30,0,33,8,13,1
324,4,3,0,8,14781,5,2,8,25,20,12,20,45,2,7,3,13,1
325,4,2,1,8,16079,5,1,17,30,19,25,30,0,3,7,6,13,1
326,4,2,1,5,12898,5,1,22,50,4,5,35,25,3,7,6,13,1
327,6,2,1,8,15353,3,1,7,30,19,11,45,15,3,7,6,13,1
328,3,0,5,8,7303,3,3,18,25,21,2,55,20,0,13,29,13,0
329,8,3,0,8,6197,3,3,15,5,20,5,40,45,2,33,3,13,1
330,1,3,0,8,8996,6,0,9,10,13,4,5,15,2,2,3,13,1
331,3,2,1,8,6528,3,4,14,20,22,8,0,20,3,20,6,13,1
332,2,0,2,8,4239,4,6,20,55,23,2,45,40,0,13,29,13,0
333,3,3,0,8,4148,3,5,20,25,23,2,40,5,2,5,29,13,0
334,8,0,2,8,3971,5,0,21,10,0,2,55,5,0,13,29,13,0
335,0,3,0,8,5192,5,6,7,35,23,15,55,30,2,14,3,13,1
336,4,2,1,8,9483,4,6,13,25,12,23,10,35,3,0,4,5,2
337,4,2,1,8,18804,6,6,11,40,19,7,20,0,3,29,4,5,2
338,1,2,1,8,5201,6,5,5,10,8,2,50,0,3,10,29,13,0
339,4,2,1,8,16079,5,1,11,30,19,7,30,0,3,7,6,13,1
340,4,0,2,5,7229,6,2,19,50,22,3,0,50,0,13,29,13,0
341,6,2,1,8,6795,5,1,17,45,1,7,45,30,3,7,6,13,1
342,4,3,0,8,10953,5,4,9,35,10,25,20,55,2,14,3,13,1
343,6,2,1,8,15965,6,1,15,5,1,10,25,30,3,21,4,5,2
344,1,2,1,8,9968,4,6,12,55,19,30,20,15,3,29,4,5,2
345,3,3,0,8,4804,6,4,22,15,0,2,35,50,2,5,29,13,0
346,4,2,1,8,16079,5,1,10,0,19,9,0,0,3,7,6,13,1
347,4,2,1,5,11507,6,0,21,25,12,15,10,35,3,21,4,5,2
348,1,3,0,8,11542,6,0,9,25,13,28,20,45,2,7,7,3,2
349,4,0,2,8,7229,4,6,17,45,20,3,0,45,0,13,29,13,0
350,4,0,2,5,4544,4,2,6,0,8,2,45,45,0,13,29,13,0
351,3,2,1,8,6496,5,6,5,10,10,4,55,5,3,6,6,13,1
352,3,3,0,8,4804,6,2,21,25,0,2,40,5,2,5,29,13,0
